id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	shipping	brand	mpn
001401BROWN280X190	Modern Box Design Wool Rug Brown 280x190cm	Modern Box Design Wool Rug Brown 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Modern-Box-Design-Wool-Rug-Brown-280x190cm&cam=51	http://www.soldsmart.com.au/files/001401BROWN280X190/001401BROWN280X190_gshop_img.jpg	new	in stock	374.95 AUD	AU:::29.95 AUD	Soldsmart	001401BROWN280X190
001401CHOC225X155	Modern Box Design Wool Rug Dark Brown 225x155cm	Modern Box Design Wool Rug Dark Brown 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Modern-Box-Design-Wool-Rug-Dark-Brown-225x155cm&cam=51	http://www.soldsmart.com.au/files/001401CHOC225X155/001401CHOC225X155_gshop_img.jpg	new	in stock	274.95 AUD	AU:::24.95 AUD	Soldsmart	001401CHOC225X155
001401CHOC280X190	Modern Box Design Wool Rug Dark Brown 280x190cm	Modern Box Design Wool Rug Dark Brown 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Modern-Box-Design-Wool-Rug-Dark-Brown-280x190cm&cam=51	http://www.soldsmart.com.au/files/001401CHOC280X190/001401CHOC280X190_gshop_img.jpg	new	in stock	344.95 AUD	AU:::29.95 AUD	Soldsmart	001401CHOC280X190
001405RED165X115	Stunning Designer Woollen Orange Rug 165x115cm	Stunning Designer Woollen Orange Rug 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Stunning-Designer-Woollen-Orange-Rug-165x115cm&cam=51	http://www.soldsmart.com.au/files/001405RED165X115/001405RED165X115_gshop_img.jpg	new	in stock	124.95 AUD	AU:::14.95 AUD	Soldsmart	001405RED165X115
001405RED225X155	Stunning Designer Woollen Orange Rug 225x155cm	Stunning Designer Woollen Orange Rug 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Stunning-Designer-Woollen-Orange-Rug-225x155cm&cam=51	http://www.soldsmart.com.au/files/001405RED225X155/001405RED225X155_gshop_img.jpg	new	in stock	224.95 AUD	AU:::24.95 AUD	Soldsmart	001405RED225X155
001405RED280X190	Stunning Designer Woollen Orange Rug 280x190cm	Stunning Designer Woollen Orange Rug 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Stunning-Designer-Woollen-Orange-Rug-280x190cm&cam=51	http://www.soldsmart.com.au/files/001405RED280X190/001405RED280X190_gshop_img.jpg	new	in stock	344.95 AUD	AU:::29.95 AUD	Soldsmart	001405RED280X190
001526BRBE225X155	Modern Woollen Rug Floral Print Brown, Beige 225x155cm	Modern Woollen Rug Floral Print Brown, Beige 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Modern-Woollen-Rug-Floral-Print-Brown-Beige-225x155cm&cam=51	http://www.soldsmart.com.au/files/001526BRBE225X155/001526BRBE225X155_gshop_img.jpg	new	in stock	144.95 AUD	AU:::24.95 AUD	Soldsmart	001526BRBE225X155
001526WHBL280X190	Modern Woollen Rug Floral Print Ivory, Black 280x190cm	Modern Woollen Rug Floral Print Ivory, Black 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Modern-Woollen-Rug-Floral-Print-Ivory-Black-280x190cm&cam=51	http://www.soldsmart.com.au/files/001526WHBL280X190/001526WHBL280X190_gshop_img.jpg	new	in stock	244.95 AUD	AU:::29.95 AUD	Soldsmart	001526WHBL280X190
001536CHOC165X115	Modern Striped Wool Choc Brown Rug, Faux Silk 165x115cm	Modern Striped Wool Choc Brown Rug, Faux Silk 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Modern-Striped-Wool-Choc-Brown-Rug-Faux-Silk-165x115cm&cam=51	http://www.soldsmart.com.au/files/001536CHOC165X115/001536CHOC165X115_gshop_img.jpg	new	in stock	94.95 AUD	AU:::19.95 AUD	Soldsmart	001536CHOC165X115
001859BROWN290X200	Stylish Modern Woollen Rug Brown Colour 280x190cm	Stylish Modern Woollen Rug Brown Colour 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Stylish-Modern-Woollen-Rug-Brown-Colour-280x190cm&cam=51	http://www.soldsmart.com.au/files/001859BROWN290X200/001859BROWN290X200_gshop_img.jpg	new	in stock	344.95 AUD	AU:::29.95 AUD	Soldsmart	001859BROWN290X200
001859CHOC280X190	Stylish Modern Woollen Rug Choc Brown 280x190cm	Stylish Modern Woollen Rug Choc Brown 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Stylish-Modern-Woollen-Rug-Choc-Brown-280x190cm&cam=51	http://www.soldsmart.com.au/files/001859CHOC280X190/001859CHOC280X190_gshop_img.jpg	new	in stock	344.95 AUD	AU:::29.95 AUD	Soldsmart	001859CHOC280X190
001871BONE165X115	Elegant Cut and Loop Pile Rug Bone 165x115cm	Elegant Cut and Loop Pile Rug Bone 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Bone-165x115cm&cam=51	http://www.soldsmart.com.au/files/001871BONE165X115/001871BONE165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871BONE165X115
001871BONE225X155	Elegant Cut and Loop Pile Rug Bone 225x155cm	Elegant Cut and Loop Pile Rug Bone 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Bone-225x155cm&cam=51	http://www.soldsmart.com.au/files/001871BONE225X155/001871BONE225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871BONE225X155
001871BONE300X80	Elegant Cut And Loop pile Runner Bone 300x80cm	Elegant Cut And Loop pile Runner Bone 300x80cm	Home & Garden > Decor > Rugs	Rugs > Runners	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Bone-300x80cm&cam=51	http://www.soldsmart.com.au/files/001871BONE300X80/001871BONE300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871BONE300X80
001871CHAR165X115	Elegant Cut and Loop Pile Rug Charcoal 165x115cm	Elegant Cut and Loop Pile Rug Charcoal 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Charcoal-165x115cm&cam=51	http://www.soldsmart.com.au/files/001871CHAR165X115/001871CHAR165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871CHAR165X115
001871CHAR225X155	Elegant Cut and Loop Pile Rug Charcoal 225x155cm	Elegant Cut and Loop Pile Rug Charcoal 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Charcoal-225x155cm&cam=51	http://www.soldsmart.com.au/files/001871CHAR225X155/001871CHAR225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871CHAR225X155
001871CHAR280X190	Elegant Cut and Loop Pile Rug Charcoal 280x190cm	Elegant Cut and Loop Pile Rug Charcoal 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Charcoal-280x190cm&cam=51	http://www.soldsmart.com.au/files/001871CHAR280X190/001871CHAR280X190_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871CHAR280X190
001871CHAR300X80	Elegant Cut And Loop pile Runner Charcoal 300x80cm	Elegant Cut And Loop pile Runner Charcoal 300x80cm	Home & Garden > Decor > Rugs	Rugs > Runners	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Charcoal-300x80cm&cam=51	http://www.soldsmart.com.au/files/001871CHAR300X80/001871CHAR300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871CHAR300X80
001871CHAR400X80	Elegant Cut And Loop pile Runner Charcoal 400x80cm	Elegant Cut And Loop pile Runner Charcoal 400x80cm	Home & Garden > Decor > Rugs	Rugs > Runners	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Charcoal-400x80cm&cam=51	http://www.soldsmart.com.au/files/001871CHAR400X80/001871CHAR400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871CHAR400X80
